delivery_id,order_id,delivery_date,delivered_quantity,delivery_status,driver,proof_of_delivery
DEL50046,ORD10050,2007-10-25,14,Delivered,Glenn,Signed
DEL50047,ORD10051,2007-10-26,3,Delivered,Glenn,signed
DEL50048,ORD10052,2007-10-23,35,Delivered,Hidetoshi,No signature
DEL50049,ORD10053,2007-10-29,27,Delivered,Madge,SIGND
DEL50050,ORD10054,2007-10-30,10,Delivered,Madge,signed
DEL50051,ORD10055,2007-10-24,39,Delivered,Hidetoshi,Signed
DEL50052,ORD10056,2007-10-24,38,Delivered,Madge,No signature
DEL50053,ORD10057,2007-10-25,28,Delivered,Hidetoshi,SIGND
DEL50054,ORD10058,2007-10-31,39,Delivered,Madge,signed
DEL50055,ORD10060,2007-10-25,14,Delivered,Madge,Signed
DEL50056,ORD10061,2007-10-30,19,Delivered,Madge,No signature
DEL50057,ORD10062,2007-10-29,8,Delivered,Hidetoshi,signed
DEL50058,ORD10063,2007-10-29,6,Delivered,Hidetoshi,Signed
DEL50059,ORD10064,2007-10-29,4,Delivered,Glenn,Signed
DEL50060,ORD10065,2007-10-27,19,Delivered,Hidetoshi,signed
DEL50061,ORD10067,2007-10-31,26,Delivered,Hidetoshi,Signed
DEL50062,ORD10068,2007-11-03,23,Delivered,Madge,No signature
DEL50063,ORD10069,2007-11-02,40,Delivered,Glenn,No signature
DEL50064,ORD10070,2007-11-02,32,Delivered,Hidetoshi,No signature
DEL50065,ORD10071,2007-11-03,5,Delivered,Glenn,Signed
DEL50066,ORD10073,2007-11-06,8,Delivered,Hidetoshi,signed
DEL50067,ORD10075,2007-11-03,28,Delivered,Glenn,signed
DEL50068,ORD10076,2007-11-08,24,Partial,Madge,No signature
DEL50069,ORD10077,2007-11-03,9,Delivered,Hidetoshi,signed
DEL50070,ORD10079,2007-11-03,12,Delivered,Glenn,Signed
DEL50071,ORD10080,2007-11-08,17,Delivered,Glenn,No signature
DEL50072,ORD10081,2007-11-05,41,Delivered,Madge,No signature
DEL50073,ORD10082,2007-11-05,42,Delivered,Madge,No signature
DEL50074,ORD10083,2007-11-08,8,Delivered,Glenn,No signature
DEL50075,ORD10086,2007-11-12,21,Delivered,Hidetoshi,No signature
DEL50076,ORD10087,2007-11-12,14,Delivered,Hidetoshi,SIGND
DEL50077,ORD10088,2007-11-08,31,Partial,Madge,No signature
DEL50078,ORD10089,2007-11-11,29,Delivered,Hidetoshi,Signed
DEL50079,ORD10090,2007-11-09,21,Delivered,Glenn,signed
DEL50080,ORD10091,2007-11-09,29,Delivered,Glenn,No signature
DEL50081,ORD10092,2007-11-11,6,Delivered,Glenn,No signature
DEL50082,ORD10093,2007-11-13,21,Delivered,Madge,signed
DEL50083,ORD10094,2007-11-10,18,Partial,Glenn,No signature
DEL50084,ORD10095,2007-11-14,8,Delivered,Glenn,No signature
DEL50085,ORD10096,2007-11-13,35,Delivered,Madge,SIGND
DEL50086,ORD10097,2007-11-12,20,Delivered,Glenn,SIGND
DEL50087,ORD10098,2007-11-10,10,Delivered,Hidetoshi,No signature
DEL50088,ORD10099,2007-11-13,41,Delivered,Glenn,SIGND
DEL50089,ORD10100,2007-11-15,9,Delivered,Madge,SIGND
DEL50090,ORD10101,2007-11-17,10,Delivered,Glenn,SIGND
DEL50091,ORD10103,2007-11-17,12,Delivered,Glenn,Signed
DEL50092,ORD10104,2007-11-18,38,Delivered,Madge,No signature
DEL50093,ORD10105,2007-11-18,43,Delivered,Madge,signed
DEL50094,ORD10106,2007-11-15,7,Delivered,Hidetoshi,Signed
DEL50095,ORD10107,2007-11-20,36,Delivered,Hidetoshi,signed
DEL50096,ORD10108,2007-11-18,20,Delivered,Glenn,No signature
DEL50097,ORD10109,2007-11-18,14,Delivered,Hidetoshi,signed
DEL50098,ORD10110,2007-11-20,39,Delivered,Madge,signed
DEL50099,ORD10111,2007-11-21,10,Delivered,Hidetoshi,No signature
DEL50100,ORD10112,2007-11-18,33,Delivered,Glenn,SIGND
DEL50101,ORD10113,2007-11-25,13,Delivered,Hidetoshi,signed
DEL50102,ORD10114,2007-11-24,9,Delivered,Madge,Signed
DEL50103,ORD10116,2007-11-26,29,Delivered,Madge,Signed
DEL50104,ORD10117,2007-11-24,36,Delivered,Hidetoshi,No signature
DEL50105,ORD10118,2007-11-23,10,Delivered,Madge,Signed
DEL50106,ORD10119,2007-11-23,10,Delivered,Glenn,Signed
DEL50107,ORD10120,2007-11-26,39,Delivered,Hidetoshi,Signed
DEL50108,ORD10121,2007-11-27,14,Delivered,Glenn,SIGND
DEL50109,ORD10122,2007-11-22,38,Delivered,Glenn,SIGND
DEL50110,ORD10123,2007-11-25,32,Delivered,Glenn,signed
DEL50111,ORD10124,2007-11-24,43,Delivered,Hidetoshi,No signature
DEL50112,ORD10125,2007-11-27,43,Delivered,Hidetoshi,Signed
DEL50113,ORD10126,2007-11-23,19,Delivered,Hidetoshi,SIGND
DEL50114,ORD10127,2007-11-23,8,Delivered,Hidetoshi,Signed
DEL50115,ORD10128,2007-11-27,30,Delivered,Glenn,No signature
DEL50116,ORD10130,2007-11-25,10,Delivered,Hidetoshi,Signed
DEL50117,ORD10131,2007-12-02,38,Delivered,Madge,No signature
DEL50118,ORD10132,2007-11-27,45,Delivered,Hidetoshi,Signed
DEL50119,ORD10133,2007-11-28,43,Delivered,Glenn,Signed
DEL50120,ORD10135,2007-11-27,42,Delivered,Hidetoshi,SIGND
DEL50121,ORD10136,2007-11-29,11,Delivered,Hidetoshi,Signed
DEL50122,ORD10137,2007-12-05,38,Delivered,Glenn,SIGND
DEL50123,ORD10138,2007-12-04,21,Delivered,Glenn,signed
DEL50124,ORD10139,2007-12-05,27,Delivered,Hidetoshi,No signature
DEL50125,ORD10140,2007-12-04,36,Delivered,Hidetoshi,No signature
DEL50126,ORD10142,2007-12-02,14,Delivered,Glenn,No signature
DEL50127,ORD10143,2007-11-30,36,Delivered,Glenn,Signed
DEL50128,ORD10144,2007-12-04,21,Delivered,Madge,Signed
DEL50129,ORD10145,2007-12-03,24,Partial,Madge,signed
DEL50130,ORD10146,2007-12-05,35,Delivered,Glenn,No signature
DEL50131,ORD10147,2007-12-04,23,Partial,Glenn,No signature
DEL50132,ORD10148,2007-12-03,30,Delivered,Hidetoshi,No signature
DEL50133,ORD10150,2007-12-07,18,Delivered,Madge,signed
DEL50134,ORD10151,2007-12-11,37,Delivered,Glenn,SIGND
DEL50135,ORD10152,2007-12-07,39,Delivered,Madge,No signature
DEL50136,ORD10153,2007-12-05,24,Delivered,Glenn,Signed
DEL50137,ORD10154,2007-12-06,26,Delivered,Hidetoshi,Signed
DEL50138,ORD10155,2007-12-08,27,Delivered,Madge,signed
DEL50139,ORD10156,2007-12-07,33,Delivered,Hidetoshi,Signed
DEL50140,ORD10157,2007-12-12,39,Delivered,Hidetoshi,No signature
DEL50141,ORD10158,2007-12-13,17,Delivered,Glenn,SIGND
DEL50142,ORD10159,2007-12-12,16,Delivered,Glenn,SIGND
DEL50143,ORD10160,2007-12-09,39,Delivered,Glenn,signed
DEL50144,ORD10161,2007-12-14,37,Delivered,Madge,No signature
DEL50145,ORD10162,2007-12-11,26,Partial,Glenn,signed
DEL50146,ORD10164,2007-12-13,18,Delivered,Madge,signed
DEL50147,ORD10165,2007-12-18,14,Delivered,Hidetoshi,SIGND
DEL50148,ORD10166,2007-12-18,29,Delivered,Hidetoshi,SIGND
DEL50149,ORD10167,2007-12-14,11,Delivered,Hidetoshi,Signed
DEL50150,ORD10168,2007-12-15,12,Delivered,Hidetoshi,No signature
DEL50151,ORD10169,2007-12-14,9,Delivered,Madge,signed
DEL50152,ORD10170,2007-12-20,24,Partial,Madge,signed
DEL50153,ORD10171,2007-12-14,4,Delivered,Glenn,Signed
DEL50154,ORD10172,2007-12-19,28,Delivered,Hidetoshi,No signature
DEL50155,ORD10173,2007-12-17,8,Delivered,Hidetoshi,No signature
DEL50156,ORD10174,2007-12-20,16,Delivered,Hidetoshi,SIGND
DEL50157,ORD10175,2007-12-15,19,Delivered,Madge,No signature
DEL50158,ORD10176,2007-12-16,33,Delivered,Hidetoshi,No signature
DEL50159,ORD10177,2007-12-21,21,Delivered,Madge,SIGND
DEL50160,ORD10178,2007-12-18,6,Delivered,Hidetoshi,SIGND
DEL50161,ORD10179,2007-12-22,38,Delivered,Madge,No signature
DEL50162,ORD10180,2007-12-18,18,Delivered,Hidetoshi,No signature
DEL50163,ORD10181,2007-12-18,18,Delivered,Madge,No signature
DEL50164,ORD10182,2007-12-19,40,Delivered,Hidetoshi,signed
DEL50165,ORD10183,2007-12-21,37,Delivered,Hidetoshi,No signature
DEL50166,ORD10184,2007-12-21,29,Delivered,Madge,No signature
DEL50167,ORD10185,2007-12-23,45,Delivered,Madge,No signature
DEL50168,ORD10186,2007-12-22,27,Delivered,Hidetoshi,SIGND
DEL50169,ORD10187,2007-12-24,27,Delivered,Hidetoshi,Signed
DEL50170,ORD10188,2007-12-25,45,Delivered,Hidetoshi,Signed
DEL50171,ORD10189,2007-12-23,11,Delivered,Glenn,No signature
DEL50172,ORD10190,2007-12-25,25,Delivered,Hidetoshi,Signed
DEL50173,ORD10191,2007-12-22,20,Delivered,Glenn,signed
DEL50174,ORD10192,2007-12-27,21,Delivered,Hidetoshi,No signature
DEL50175,ORD10193,2007-12-24,6,Delivered,Hidetoshi,No signature
DEL50176,ORD10194,2007-12-22,27,Delivered,Madge,No signature
DEL50177,ORD10195,2007-12-28,26,Delivered,Madge,No signature
DEL50178,ORD10196,2007-12-22,42,Delivered,Madge,No signature
DEL50179,ORD10197,2007-12-25,26,Delivered,Madge,signed
DEL50180,ORD10198,2007-12-28,10,Delivered,Madge,SIGND
DEL50181,ORD10199,2007-12-26,21,Delivered,Madge,Signed
DEL50182,ORD10200,2007-12-27,42,Delivered,Glenn,SIGND
DEL50183,ORD10201,2007-12-27,34,Delivered,Hidetoshi,SIGND
DEL50184,ORD10203,2007-12-29,28,Delivered,Glenn,SIGND
DEL50185,ORD10204,2008-01-02,32,Delivered,Glenn,signed
DEL50186,ORD10205,2008-01-01,32,Delivered,Madge,No signature
DEL50187,ORD10206,2008-01-01,38,Delivered,Hidetoshi,Signed
DEL50188,ORD10207,2007-12-31,19,Delivered,Hidetoshi,Signed
DEL50189,ORD10209,2008-01-03,38,Delivered,Glenn,Signed
DEL50190,ORD10210,2007-12-28,22,Delivered,Glenn,No signature
DEL50191,ORD10211,2008-01-03,43,Delivered,Hidetoshi,Signed
DEL50192,ORD10213,2007-12-29,5,Delivered,Hidetoshi,Signed
DEL50193,ORD10214,2007-12-30,37,Delivered,Hidetoshi,signed
DEL50194,ORD10215,2008-01-06,20,Delivered,Madge,SIGND
DEL50195,ORD10216,2008-01-06,18,Delivered,Madge,Signed
DEL50196,ORD10217,2008-01-03,31,Partial,Glenn,No signature
DEL50197,ORD10218,2008-01-05,4,Delivered,Madge,Signed
DEL50198,ORD10219,2008-01-05,39,Delivered,Glenn,signed
DEL50199,ORD10220,2008-01-03,30,Delivered,Glenn,signed
DEL50200,ORD10221,2008-01-04,20,Delivered,Madge,signed
DEL50201,ORD10222,2008-01-07,13,Delivered,Madge,signed
DEL50202,ORD10223,2008-01-05,34,Delivered,Hidetoshi,signed
DEL50203,ORD10224,2008-01-07,29,Partial,Madge,Signed
DEL50204,ORD10225,2008-01-09,34,Delivered,Madge,No signature
DEL50205,ORD10226,2008-01-06,9,Delivered,Madge,No signature
DEL50206,ORD10227,2008-01-08,36,Delivered,Hidetoshi,Signed
DEL50207,ORD10228,2008-01-09,40,Delivered,Hidetoshi,No signature
DEL50208,ORD10229,2008-01-09,42,Delivered,Glenn,signed
DEL50209,ORD10230,2008-01-08,16,Delivered,Glenn,SIGND
DEL50210,ORD10231,2008-01-10,39,Partial,Hidetoshi,signed
DEL50211,ORD10232,2008-01-10,14,Delivered,Glenn,Signed
DEL50212,ORD10233,2008-01-11,22,Delivered,Madge,SIGND
DEL50213,ORD10234,2008-01-14,20,Delivered,Madge,SIGND
DEL50214,ORD10235,2008-01-11,32,Delivered,Hidetoshi,signed
DEL50215,ORD10236,2008-01-10,29,Delivered,Glenn,signed
DEL50216,ORD10237,2008-01-12,42,Delivered,Hidetoshi,No signature
DEL50217,ORD10238,2008-01-14,6,Delivered,Madge,Signed
DEL50218,ORD10239,2008-01-09,7,Delivered,Glenn,SIGND
DEL50219,ORD10240,2008-01-11,3,Delivered,Glenn,Signed
DEL50220,ORD10241,2008-01-16,4,Delivered,Glenn,signed
DEL50221,ORD10242,2008-01-11,10,Delivered,Madge,No signature
DEL50222,ORD10243,2008-01-13,7,Delivered,Glenn,Signed
DEL50223,ORD10244,2008-01-10,41,Delivered,Madge,SIGND
DEL50224,ORD10246,2008-01-15,3,Delivered,Madge,No signature
DEL50225,ORD10247,2008-01-14,35,Delivered,Glenn,signed
DEL50226,ORD10248,2008-01-14,12,Delivered,Madge,Signed
DEL50227,ORD10249,2008-01-12,15,Delivered,Glenn,SIGND
DEL50228,ORD10250,2008-01-12,26,Delivered,Hidetoshi,SIGND
DEL50229,ORD10251,2008-01-20,30,Delivered,Hidetoshi,Signed
DEL50230,ORD10252,2008-01-16,44,Delivered,Glenn,No signature
DEL50231,ORD10253,2008-01-20,13,Delivered,Hidetoshi,Signed
DEL50232,ORD10254,2008-01-21,16,Delivered,Hidetoshi,Signed
DEL50233,ORD10255,2008-01-17,15,Delivered,Madge,No signature
DEL50234,ORD10256,2008-01-22,38,Delivered,Hidetoshi,signed
DEL50235,ORD10257,2008-01-17,27,Delivered,Glenn,Signed
DEL50236,ORD10258,2008-01-18,42,Delivered,Glenn,signed
DEL50237,ORD10259,2008-01-21,34,Delivered,Madge,No signature
DEL50238,ORD10260,2008-01-19,14,Delivered,Glenn,No signature
DEL50239,ORD10261,2008-01-23,4,Delivered,Hidetoshi,Signed
DEL50240,ORD10262,2008-01-22,21,Delivered,Hidetoshi,No signature
DEL50241,ORD10263,2008-01-19,30,Delivered,Madge,No signature
DEL50242,ORD10264,2008-01-22,28,Delivered,Madge,signed
DEL50243,ORD10265,2008-01-26,29,Delivered,Glenn,No signature
DEL50244,ORD10266,2008-01-26,40,Delivered,Glenn,Signed
DEL50245,ORD10267,2008-01-26,11,Delivered,Glenn,signed
DEL50246,ORD10268,2008-01-25,11,Delivered,Madge,No signature
DEL50247,ORD10269,2008-01-26,21,Delivered,Hidetoshi,Signed
DEL50248,ORD10270,2008-01-25,37,Delivered,Hidetoshi,No signature
DEL50249,ORD10271,2008-01-28,45,Delivered,Madge,SIGND
DEL50250,ORD10272,2008-01-27,22,Delivered,Hidetoshi,Signed
DEL50251,ORD10273,2008-01-25,36,Delivered,Hidetoshi,Signed
DEL50252,ORD10274,2008-01-26,11,Delivered,Glenn,signed
DEL50253,ORD10275,2008-01-29,27,Delivered,Glenn,Signed
DEL50254,ORD10276,2008-01-26,31,Delivered,Madge,Signed
DEL50255,ORD10277,2008-01-27,20,Delivered,Glenn,No signature
DEL50256,ORD10278,2008-01-26,37,Delivered,Madge,No signature
DEL50257,ORD10279,2008-02-02,40,Delivered,Hidetoshi,Signed
DEL50258,ORD10280,2008-02-04,11,Delivered,Glenn,No signature
DEL50259,ORD10281,2008-02-04,29,Delivered,Glenn,Signed
DEL50260,ORD10282,2008-01-29,27,Delivered,Hidetoshi,No signature
DEL50261,ORD10284,2008-02-05,43,Delivered,Glenn,signed
DEL50262,ORD10286,2008-02-04,43,Delivered,Madge,SIGND
DEL50263,ORD10287,2008-02-05,45,Delivered,Madge,Signed
DEL50264,ORD10288,2008-02-01,8,Delivered,Madge,SIGND
DEL50265,ORD10289,2008-01-31,39,Partial,Madge,SIGND
DEL50266,ORD10290,2008-02-01,44,Delivered,Madge,SIGND
DEL50267,ORD10291,2008-02-04,9,Delivered,Glenn,Signed
DEL50268,ORD10292,2008-02-06,30,Delivered,Glenn,signed
DEL50269,ORD10293,2008-02-01,31,Partial,Madge,No signature
DEL50270,ORD10294,2008-02-05,22,Delivered,Hidetoshi,No signature
DEL50271,ORD10295,2008-02-07,37,Delivered,Glenn,signed
DEL50272,ORD10296,2008-02-03,14,Delivered,Madge,SIGND
DEL50273,ORD10297,2008-02-02,28,Delivered,Madge,No signature
DEL50274,ORD10298,2008-02-05,7,Delivered,Madge,Signed
DEL50275,ORD10299,2008-02-07,23,Delivered,Madge,Signed
DEL50276,ORD10300,2008-02-09,18,Delivered,Hidetoshi,Signed
DEL50277,ORD10301,2008-02-11,11,Delivered,Glenn,Signed
DEL50278,ORD10302,2008-02-07,26,Delivered,Hidetoshi,No signature
DEL50279,ORD10303,2008-02-07,18,Delivered,Glenn,signed
DEL50280,ORD10305,2008-02-12,36,Delivered,Glenn,SIGND
DEL50281,ORD10307,2008-02-12,24,Delivered,Hidetoshi,SIGND
DEL50282,ORD10308,2008-02-08,5,Delivered,Hidetoshi,SIGND
DEL50283,ORD10309,2008-02-13,40,Delivered,Glenn,No signature
DEL50284,ORD10310,2008-02-12,10,Delivered,Hidetoshi,Signed
DEL50285,ORD10311,2008-02-14,38,Delivered,Madge,No signature
DEL50286,ORD10312,2008-02-17,3,Delivered,Glenn,SIGND
DEL50287,ORD10313,2008-02-19,4,Delivered,Madge,signed
DEL50288,ORD10314,2008-02-15,25,Delivered,Hidetoshi,No signature
DEL50289,ORD10315,2008-02-18,42,Delivered,Madge,SIGND
DEL50290,ORD10316,2008-02-17,39,Delivered,Madge,signed
DEL50291,ORD10317,2008-02-18,4,Delivered,Madge,Signed
DEL50292,ORD10318,2008-02-20,21,Delivered,Glenn,signed
DEL50293,ORD10319,2008-02-18,40,Delivered,Madge,SIGND
DEL50294,ORD10320,2008-02-19,20,Delivered,Madge,SIGND
DEL50295,ORD10321,2008-02-18,15,Delivered,Glenn,SIGND
DEL50296,ORD10322,2008-02-18,35,Delivered,Madge,No signature
DEL50297,ORD10323,2008-02-24,40,Delivered,Glenn,signed
DEL50298,ORD10324,2008-02-19,20,Delivered,Hidetoshi,No signature
DEL50299,ORD10325,2008-02-21,12,Delivered,Madge,Signed
DEL50300,ORD10326,2008-02-23,37,Delivered,Glenn,signed
DEL50301,ORD10327,2008-02-22,27,Delivered,Hidetoshi,Signed
DEL50302,ORD10328,2008-02-25,45,Delivered,Glenn,Signed
DEL50303,ORD10329,2008-02-24,15,Delivered,Hidetoshi,signed
DEL50304,ORD10330,2008-02-23,37,Delivered,Madge,SIGND
DEL50305,ORD10331,2008-02-24,11,Delivered,Hidetoshi,signed
DEL50306,ORD10332,2008-02-29,27,Delivered,Madge,No signature
DEL50307,ORD10333,2008-02-29,3,Delivered,Madge,SIGND
DEL50308,ORD10334,2008-02-29,27,Delivered,Madge,signed
DEL50309,ORD10335,2008-03-02,12,Delivered,Hidetoshi,SIGND
DEL50310,ORD10336,2008-03-04,18,Delivered,Glenn,No signature
DEL50311,ORD10337,2008-03-01,3,Delivered,Madge,signed
DEL50312,ORD10338,2008-02-29,40,Delivered,Glenn,No signature
DEL50313,ORD10339,2008-03-04,6,Delivered,Madge,signed
DEL50314,ORD10340,2008-03-04,9,Delivered,Madge,SIGND
DEL50315,ORD10341,2008-02-28,9,Delivered,Glenn,signed
DEL50316,ORD10343,2008-03-02,21,Partial,Madge,Signed
DEL50317,ORD10344,2008-03-04,9,Delivered,Glenn,signed
DEL50318,ORD10345,2008-03-01,21,Delivered,Glenn,SIGND
DEL50319,ORD10346,2008-03-01,26,Delivered,Hidetoshi,No signature
DEL50320,ORD10347,2008-03-03,44,Delivered,Glenn,signed
DEL50321,ORD10348,2008-03-01,13,Delivered,Glenn,signed
DEL50322,ORD10349,2008-03-07,23,Delivered,Madge,SIGND
DEL50323,ORD10350,2008-03-05,27,Delivered,Hidetoshi,SIGND
DEL50324,ORD10351,2008-03-05,26,Delivered,Glenn,Signed
DEL50325,ORD10352,2008-03-03,41,Delivered,Glenn,SIGND
DEL50326,ORD10353,2008-03-02,24,Delivered,Madge,No signature
DEL50327,ORD10354,2008-03-04,41,Delivered,Glenn,signed
DEL50328,ORD10355,2008-03-05,4,Delivered,Hidetoshi,signed
DEL50329,ORD10356,2008-03-08,15,Delivered,Glenn,SIGND
DEL50330,ORD10357,2008-03-05,33,Delivered,Glenn,No signature
DEL50331,ORD10358,2008-03-06,26,Delivered,Madge,Signed
DEL50332,ORD10359,2008-03-11,23,Delivered,Hidetoshi,Signed
DEL50333,ORD10360,2008-03-10,37,Delivered,Hidetoshi,No signature
DEL50334,ORD10361,2008-03-08,21,Delivered,Hidetoshi,No signature
DEL50335,ORD10362,2008-03-07,39,Delivered,Hidetoshi,signed
DEL50336,ORD10363,2008-03-12,18,Delivered,Glenn,signed
DEL50337,ORD10364,2008-03-13,20,Delivered,Glenn,Signed
DEL50338,ORD10365,2008-03-12,34,Delivered,Madge,No signature
DEL50339,ORD10366,2008-03-13,31,Delivered,Hidetoshi,No signature
DEL50340,ORD10367,2008-03-14,11,Delivered,Madge,No signature
DEL50341,ORD10368,2008-03-12,7,Delivered,Glenn,signed
DEL50342,ORD10369,2008-03-14,21,Delivered,Madge,SIGND
DEL50343,ORD10370,2008-03-13,35,Delivered,Madge,SIGND
DEL50344,ORD10371,2008-03-17,11,Delivered,Madge,No signature
DEL50345,ORD10372,2008-03-16,3,Delivered,Hidetoshi,No signature
DEL50346,ORD10373,2008-03-13,39,Delivered,Glenn,Signed
DEL50347,ORD10374,2008-03-15,36,Partial,Glenn,SIGND
DEL50348,ORD10375,2008-03-16,25,Delivered,Glenn,SIGND
DEL50349,ORD10376,2008-03-20,39,Delivered,Hidetoshi,Signed
DEL50350,ORD10377,2008-03-20,14,Delivered,Madge,Signed
DEL50351,ORD10378,2008-03-21,19,Delivered,Madge,signed
DEL50352,ORD10379,2008-03-18,3,Delivered,Madge,No signature
DEL50353,ORD10380,2008-03-21,9,Delivered,Hidetoshi,signed
DEL50354,ORD10381,2008-03-20,16,Delivered,Glenn,signed
DEL50355,ORD10382,2008-03-20,37,Delivered,Glenn,SIGND
DEL50356,ORD10383,2008-03-25,34,Delivered,Hidetoshi,SIGND
DEL50357,ORD10384,2008-03-22,33,Delivered,Madge,SIGND
DEL50358,ORD10385,2008-03-22,12,Delivered,Madge,No signature
DEL50359,ORD10386,2008-03-23,42,Delivered,Madge,signed
DEL50360,ORD10387,2008-03-23,4,Delivered,Madge,signed
DEL50361,ORD10388,2008-03-24,18,Delivered,Glenn,signed
DEL50362,ORD10389,2008-03-25,23,Delivered,Madge,Signed
DEL50363,ORD10390,2008-03-27,19,Delivered,Madge,SIGND
DEL50364,ORD10391,2008-03-23,30,Delivered,Glenn,No signature
DEL50365,ORD10392,2008-03-26,13,Delivered,Madge,Signed
DEL50366,ORD10393,2008-03-25,14,Delivered,Hidetoshi,No signature
DEL50367,ORD10394,2008-03-25,42,Delivered,Glenn,Signed
DEL50368,ORD10395,2008-03-25,25,Delivered,Madge,SIGND
DEL50369,ORD10396,2008-03-31,21,Delivered,Hidetoshi,No signature
DEL50370,ORD10399,2008-03-26,12,Partial,Hidetoshi,signed
DEL50371,ORD10400,2008-03-30,16,Delivered,Hidetoshi,signed
DEL50372,ORD10401,2008-03-27,42,Delivered,Glenn,Signed
DEL50373,ORD10402,2008-04-02,3,Delivered,Hidetoshi,No signature
DEL50374,ORD10403,2008-04-03,23,Delivered,Madge,No signature
DEL50375,ORD10404,2008-04-03,32,Delivered,Madge,No signature
DEL50376,ORD10405,2008-04-03,9,Delivered,Madge,No signature
DEL50377,ORD10406,2008-04-02,23,Delivered,Glenn,No signature
DEL50378,ORD10407,2008-04-05,24,Delivered,Glenn,signed
DEL50379,ORD10408,2008-04-06,9,Delivered,Hidetoshi,signed
DEL50380,ORD10409,2008-04-04,6,Delivered,Madge,signed
DEL50381,ORD10410,2008-04-08,43,Delivered,Madge,Signed
DEL50382,ORD10411,2008-04-04,6,Delivered,Madge,signed
DEL50383,ORD10412,2008-04-04,26,Delivered,Hidetoshi,Signed
DEL50384,ORD10418,2008-04-04,34,Delivered,Glenn,No signature
DEL50385,ORD10419,2008-04-09,20,Delivered,Hidetoshi,No signature
DEL50386,ORD10420,2008-04-06,43,Delivered,Hidetoshi,No signature
DEL50387,ORD10421,2008-04-06,44,Delivered,Glenn,signed
DEL50388,ORD10422,2008-04-08,26,Delivered,Madge,Signed
DEL50389,ORD10423,2008-04-06,43,Delivered,Glenn,No signature
DEL50390,ORD10424,2008-04-05,3,Delivered,Hidetoshi,SIGND
DEL50391,ORD10425,2008-04-13,36,Delivered,Glenn,signed
