order_id,order_date,sales_rep_id,eligible_revenue,commission_rate,commission_paid,note
ORD10097,2007-11-09,S002,1220.0,0.07,85.4,
ORD10098,2007-11-09,S003,306.0,0.065,19.89,
ORD10099,2007-11-09,S004,1291.5,0.065,83.95,
ORD10100,2007-11-12,S005,448.96,0.06,26.94,
ORD10101,2007-11-12,S005,280.0,0.06,16.8,
ORD10103,2007-11-12,S004,399.6,0.065,25.97,
ORD10104,2007-11-12,S002,2027.3,0.07,141.91,
ORD10105,2007-11-13,S001,1462.0,0.07,102.34,
ORD10106,2007-11-14,S001,476.0,0.07,33.32,
ORD10107,2007-11-14,S005,2135.0,0.06,128.1,
ORD10108,2007-11-14,S004,1100.0,0.065,71.5,
ORD10109,2007-11-14,S002,380.24,0.07,26.62,
ORD10110,2007-11-15,S004,2188.68,0.065,142.26,
ORD10111,2007-11-16,S005,323.0,0.06,19.38,
ORD10112,2007-11-16,S005,1065.9,0.06,63.95,
ORD10113,2007-11-19,S002,409.5,0.07,28.67,
ORD10114,2007-11-20,S003,521.55,0.065,33.9,
ORD10116,2007-11-20,S004,1912.84,0.065,124.33,
ORD10117,2007-11-20,S003,1920.6,0.065,124.84,
ORD10118,2007-11-20,S002,506.0,0.07,35.42,
ORD10119,2007-11-21,S002,610.0,0.07,42.7,
ORD10120,2007-11-21,S003,1327.56,0.065,86.29,
ORD10121,2007-11-21,S005,476.0,0.06,28.56,
ORD10122,2007-11-21,S005,1188.64,0.06,71.32,
ORD10123,2007-11-21,S004,1360.0,0.065,88.4,
ORD10124,2007-11-22,S004,1591.0,0.065,103.42,
ORD10125,2007-11-22,S004,2246.75,0.065,146.04,
ORD10126,2007-11-22,S001,1253.24,0.07,87.73,
ORD10127,2007-11-22,S003,272.0,0.065,17.68,
ORD10128,2007-11-22,S003,1567.5,0.065,101.89,
ORD10129,2007-11-23,S001,197.88,0.07,13.85,
ORD10130,2007-11-23,S005,680.0,0.06,40.8,
ORD10131,2007-11-26,S002,1032.08,0.07,72.25,
ORD10132,2007-11-26,S004,2907.0,0.065,188.96,
ORD10133,2007-11-26,S003,1388.9,0.065,90.28,
ORD10135,2007-11-26,S003,1429.68,0.065,92.93,
ORD10136,2007-11-27,S005,671.0,0.06,40.26,
ORD10137,2007-11-28,S001,1137.15,0.07,79.6,
ORD10138,2007-11-28,S001,1313.76,0.07,91.96,
ORD10139,2007-11-28,S002,1485.0,0.07,103.95,
ORD10140,2007-11-28,S003,2020.32,0.065,131.32,
ORD10141,2007-11-29,S005,397.21,0.06,23.83,
ORD10142,2007-11-29,S005,708.4,0.06,42.5,
ORD10143,2007-11-29,S001,2448.0,0.07,171.36,
ORD10144,2007-11-30,S001,753.69,0.07,52.76,
ORD10145,2007-11-30,S003,1591.2,0.065,103.43,
ORD10146,2007-11-30,S002,1921.5,0.07,134.51,
ORD10147,2007-11-30,S004,728.0,0.065,47.32,
ORD10148,2007-11-30,S003,1876.8,0.065,121.99,
ORD10149,2007-12-03,S001,1065.6,0.07,74.59,
ORD10150,2007-12-03,S005,765.0,0.06,45.9,
ORD10151,2007-12-04,S005,1259.48,0.06,75.57,
ORD10152,2007-12-04,S005,1193.4,0.06,71.6,
ORD10153,2007-12-04,S005,672.0,0.06,40.32,
ORD10154,2007-12-04,S005,1586.0,0.06,95.16,
ORD10155,2007-12-04,S001,850.5,0.07,59.54,
ORD10156,2007-12-05,S004,2013.0,0.065,130.84,
ORD10157,2007-12-06,S002,1037.4,0.07,72.62,
ORD10158,2007-12-07,S005,722.5,0.06,43.35,
ORD10159,2007-12-07,S004,544.64,0.065,35.4,
ORD10160,2007-12-07,S003,2386.8,0.065,155.14,
ORD10161,2007-12-07,S002,1165.5,0.07,81.59,
ORD10162,2007-12-07,S001,1467.4,0.07,102.72,
ORD10164,2007-12-10,S001,521.64,0.07,36.51,
ORD10165,2007-12-11,S005,854.0,0.06,51.24,
ORD10166,2007-12-11,S002,1774.8,0.07,124.24,
ORD10167,2007-12-12,S001,336.11,0.07,23.53,
ORD10168,2007-12-12,S004,459.0,0.065,29.84,
ORD10169,2007-12-12,S001,505.08,0.07,35.36,
ORD10170,2007-12-13,S005,933.14,0.06,55.99,
ORD10171,2007-12-13,S001,112.0,0.07,7.84,
ORD10172,2007-12-13,S003,1647.0,0.065,107.06,
ORD10173,2007-12-14,S001,418.0,0.07,29.26,
ORD10174,2007-12-14,S005,562.4,0.06,33.74,
ORD10175,2007-12-14,S003,1159.0,0.065,75.34,
ORD10176,2007-12-14,S003,1360.42,0.065,88.43,
ORD10177,2007-12-14,S001,661.5,0.07,46.31,
ORD10178,2007-12-17,S005,173.88,0.06,10.43,
ORD10179,2007-12-17,S001,1566.55,0.07,109.66,
ORD10180,2007-12-17,S002,550.8,0.07,38.56,
ORD10181,2007-12-17,S001,612.72,0.07,42.89,
ORD10182,2007-12-18,S005,1700.0,0.06,102.0,
ORD10183,2007-12-18,S001,2257.0,0.07,157.99,
ORD10184,2007-12-18,S005,1912.84,0.06,114.77,
ORD10185,2007-12-18,S002,1530.0,0.07,107.1,
ORD10186,2007-12-19,S001,850.5,0.07,59.54,
ORD10187,2007-12-19,S005,844.56,0.06,50.67,
ORD10188,2007-12-19,S001,1275.75,0.07,89.3,
ORD10189,2007-12-19,S003,308.0,0.065,20.02,
ORD10190,2007-12-19,S004,700.0,0.065,45.5,
ORD10191,2007-12-20,S004,1251.2,0.065,81.33,
ORD10192,2007-12-20,S005,1152.9,0.06,69.17,
ORD10193,2007-12-20,S004,199.8,0.065,12.99,
ORD10194,2007-12-20,S003,1597.59,0.065,103.84,
ORD10195,2007-12-21,S003,1430.0,0.065,92.95,
ORD10196,2007-12-21,S004,1323.0,0.065,86.0,
ORD10197,2007-12-24,S004,728.0,0.065,47.32,
ORD10198,2007-12-24,S002,425.0,0.07,29.75,
ORD10199,2007-12-24,S003,570.36,0.065,37.07,
ORD10200,2007-12-25,S002,2240.7,0.07,156.85,
ORD10201,2007-12-25,S002,1157.36,0.07,81.02,
ORD10203,2007-12-26,S003,1708.0,0.065,111.02,
ORD10204,2007-12-26,S005,1319.2,0.06,79.15,
ORD10205,2007-12-26,S001,1148.48,0.07,80.39,
ORD10206,2007-12-26,S004,1615.0,0.065,104.98,
ORD10207,2007-12-26,S001,626.62,0.07,43.86,
ORD10209,2007-12-27,S001,1406.0,0.07,98.42,
ORD10210,2007-12-27,S005,693.0,0.06,41.58,
ORD10211,2007-12-28,S003,1591.0,0.065,103.42,
ORD10213,2007-12-28,S004,140.0,0.065,9.1,
ORD10214,2007-12-28,S004,2516.0,0.065,163.54,
ORD10215,2007-12-31,S002,1159.0,0.07,81.13,
ORD10216,2008-01-01,S005,765.0,0.06,45.9,
ORD10217,2008-01-01,S001,2074.0,0.07,145.18,
ORD10218,2008-01-01,S005,220.0,0.06,13.2,
ORD10219,2008-01-01,S002,2145.0,0.07,150.15,
ORD10220,2008-01-01,S002,945.0,0.07,66.15,
ORD10221,2008-01-02,S002,1045.0,0.07,73.15,
ORD10222,2008-01-02,S002,813.28,0.07,56.93,
ORD10223,2008-01-02,S004,904.4,0.065,58.79,
ORD10224,2008-01-02,S005,989.4,0.06,59.36,
ORD10225,2008-01-03,S002,1870.0,0.07,130.9,
ORD10226,2008-01-03,S002,306.0,0.07,21.42,
ORD10227,2008-01-03,S004,1332.0,0.065,86.58,
ORD10228,2008-01-03,S001,1319.2,0.07,92.34,
ORD10229,2008-01-04,S002,1428.0,0.07,99.96,
ORD10230,2008-01-04,S004,434.56,0.065,28.25,
ORD10231,2008-01-04,S003,1476.3,0.065,95.96,
ORD10232,2008-01-04,S004,770.0,0.065,50.05,
ORD10233,2008-01-04,S001,1210.0,0.07,84.7,
ORD10234,2008-01-07,S001,579.6,0.07,40.57,
ORD10235,2008-01-07,S005,851.2,0.06,51.07,
ORD10236,2008-01-07,S002,936.7,0.07,65.57,
ORD10237,2008-01-07,S001,1217.16,0.07,85.2,
ORD10238,2008-01-07,S005,189.0,0.06,11.34,
ORD10239,2008-01-08,S003,238.28,0.065,15.49,
ORD10240,2008-01-08,S005,117.3,0.06,7.04,
ORD10241,2008-01-09,S004,224.48,0.065,14.59,
ORD10242,2008-01-09,S005,610.0,0.06,36.6,
ORD10243,2008-01-09,S003,180.32,0.065,11.72,
ORD10244,2008-01-09,S003,2425.97,0.065,157.69,
ORD10246,2008-01-10,S004,148.5,0.065,9.65,
ORD10247,2008-01-10,S001,1069.42,0.07,74.86,
ORD10248,2008-01-10,S002,459.0,0.07,32.13,
ORD10249,2008-01-10,S005,484.5,0.06,29.07,
ORD10250,2008-01-11,S003,884.0,0.065,57.46,
ORD10251,2008-01-14,S002,1275.0,0.07,89.25,
ORD10252,2008-01-15,S001,2902.24,0.07,203.16,
ORD10253,2008-01-15,S002,753.35,0.07,52.73,
ORD10254,2008-01-16,S004,592.0,0.065,38.48,
ORD10255,2008-01-16,S005,869.25,0.06,52.16,
ORD10256,2008-01-16,S001,1161.09,0.07,81.28,
ORD10257,2008-01-16,S004,826.2,0.065,53.7,
ORD10258,2008-01-17,S002,1428.0,0.07,99.96,
ORD10259,2008-01-17,S001,1071.0,0.07,74.97,
ORD10260,2008-01-18,S004,693.0,0.065,45.05,
ORD10261,2008-01-18,S002,122.4,0.07,8.57,
ORD10262,2008-01-18,S005,642.6,0.06,38.56,
ORD10263,2008-01-18,S004,1020.0,0.065,66.3,
ORD10264,2008-01-18,S004,1004.92,0.065,65.32,
ORD10265,2008-01-21,S002,1435.5,0.07,100.49,
ORD10266,2008-01-21,S002,1480.0,0.07,103.6,
ORD10267,2008-01-22,S002,453.47,0.07,31.74,
ORD10268,2008-01-22,S005,671.0,0.06,40.26,
ORD10269,2008-01-22,S005,641.65,0.06,38.5,
ORD10270,2008-01-23,S003,1933.25,0.065,125.66,
ORD10271,2008-01-24,S002,1260.0,0.07,88.2,
ORD10272,2008-01-24,S001,1496.0,0.07,104.72,
ORD10273,2008-01-24,S004,1828.75,0.065,118.87,
ORD10274,2008-01-25,S004,725.56,0.065,47.16,
ORD10275,2008-01-25,S001,756.0,0.07,52.92,
ORD10276,2008-01-25,S005,1112.59,0.06,66.76,
ORD10277,2008-01-25,S003,680.0,0.065,44.2,
ORD10278,2008-01-25,S002,1572.5,0.07,110.08,
ORD10279,2008-01-28,S002,2584.0,0.07,180.88,
ORD10280,2008-01-28,S002,467.5,0.07,32.73,
ORD10281,2008-01-28,S002,867.82,0.07,60.75,
ORD10282,2008-01-28,S005,1485.0,0.06,89.1,
ORD10284,2008-01-29,S005,1204.0,0.06,72.24,
ORD10285,2008-01-29,S004,2365.0,0.065,153.72,
ORD10286,2008-01-29,S002,1315.8,0.07,92.11,
ORD10287,2008-01-29,S003,1377.0,0.065,89.51,
ORD10288,2008-01-30,S004,272.0,0.065,17.68,
ORD10289,2008-01-30,S004,1323.0,0.065,86.0,
ORD10290,2008-01-30,S003,1133.44,0.065,73.67,
ORD10291,2008-01-30,S005,480.15,0.06,28.81,
ORD10292,2008-01-31,S003,756.0,0.065,49.14,
ORD10293,2008-01-31,S003,924.0,0.065,60.06,
ORD10294,2008-01-31,S004,1089.0,0.065,70.78,
ORD10295,2008-02-01,S004,1036.0,0.065,67.34,
ORD10296,2008-02-01,S002,535.5,0.07,37.49,
ORD10297,2008-02-01,S001,1094.8,0.07,76.64,
ORD10298,2008-02-04,S003,288.57,0.065,18.76,
ORD10299,2008-02-04,S001,579.6,0.07,40.57,
ORD10300,2008-02-04,S003,478.8,0.065,31.12,
ORD10301,2008-02-04,S001,298.76,0.07,20.91,
ORD10302,2008-02-05,S001,1538.42,0.07,107.69,
ORD10303,2008-02-05,S002,940.5,0.07,65.84,
ORD10305,2008-02-07,S005,1821.6,0.06,109.3,
ORD10306,2008-02-07,S003,1759.5,0.065,114.37,
ORD10307,2008-02-07,S001,618.24,0.07,43.28,
ORD10308,2008-02-07,S003,144.9,0.065,9.42,
ORD10309,2008-02-08,S001,2318.0,0.07,162.26,
ORD10310,2008-02-08,S002,280.0,0.07,19.6,
ORD10311,2008-02-11,S003,1292.0,0.065,83.98,
ORD10312,2008-02-12,S002,94.5,0.07,6.62,
ORD10313,2008-02-13,S001,258.4,0.07,18.09,
ORD10314,2008-02-13,S001,925.0,0.07,64.75,
ORD10315,2008-02-13,S004,1285.2,0.065,83.54,
ORD10316,2008-02-13,S003,2188.68,0.065,142.26,
ORD10317,2008-02-14,S004,250.24,0.065,16.27,
ORD10318,2008-02-14,S003,1120.35,0.065,72.82,
ORD10319,2008-02-14,S005,1224.0,0.06,73.44,
ORD10320,2008-02-14,S003,1100.0,0.065,71.5,
ORD10321,2008-02-15,S004,378.0,0.065,24.57,
ORD10322,2008-02-15,S003,1190.0,0.065,77.35,
ORD10323,2008-02-18,S003,1251.2,0.065,81.33,
ORD10324,2008-02-18,S003,560.0,0.065,36.4,
ORD10325,2008-02-18,S004,359.1,0.065,23.34,
ORD10326,2008-02-18,S003,1258.0,0.065,81.77,
ORD10327,2008-02-19,S003,1482.3,0.065,96.35,
ORD10328,2008-02-19,S004,2475.0,0.065,160.88,
ORD10329,2008-02-20,S001,637.5,0.07,44.63,
ORD10330,2008-02-20,S001,2516.0,0.07,176.12,
ORD10331,2008-02-21,S005,308.0,0.06,18.48,
ORD10332,2008-02-22,S003,999.0,0.065,64.94,
ORD10333,2008-02-25,S005,102.0,0.06,6.12,
ORD10334,2008-02-25,S001,918.0,0.07,64.26,
ORD10335,2008-02-25,S005,459.0,0.06,27.54,
ORD10336,2008-02-26,S002,599.4,0.07,41.96,
ORD10337,2008-02-26,S002,183.0,0.07,12.81,
ORD10338,2008-02-26,S001,2090.0,0.07,146.3,
ORD10339,2008-02-26,S004,189.0,0.065,12.29,
ORD10340,2008-02-27,S003,455.4,0.065,29.6,
ORD10341,2008-02-27,S001,283.5,0.07,19.85,
ORD10343,2008-02-27,S003,1089.0,0.065,70.78,
ORD10344,2008-02-28,S004,275.0,0.065,17.88,
ORD10345,2008-02-28,S001,1285.2,0.07,89.96,
ORD10346,2008-02-28,S004,1459.12,0.065,94.84,
ORD10347,2008-02-28,S003,2992.0,0.065,194.48,
ORD10348,2008-02-28,S005,643.5,0.06,38.61,
ORD10349,2008-02-29,S001,644.0,0.07,45.08,
ORD10350,2008-02-29,S004,1597.59,0.065,103.84,
ORD10351,2008-02-29,S004,691.6,0.065,44.95,
ORD10352,2008-02-29,S001,1090.6,0.07,76.34,
ORD10353,2008-02-29,S005,816.0,0.06,48.96,
ORD10354,2008-03-03,S002,1226.92,0.07,85.88,
ORD10355,2008-03-03,S003,244.0,0.065,15.86,
ORD10356,2008-03-03,S003,555.0,0.065,36.08,
ORD10357,2008-03-03,S003,935.55,0.065,60.81,
ORD10358,2008-03-04,S003,857.48,0.065,55.74,
ORD10359,2008-03-04,S004,782.0,0.065,50.83,
ORD10360,2008-03-04,S002,1327.93,0.07,92.96,
ORD10361,2008-03-04,S001,892.5,0.07,62.48,
ORD10362,2008-03-04,S003,2145.0,0.065,139.43,
ORD10363,2008-03-05,S001,549.99,0.07,38.5,
ORD10364,2008-03-06,S005,543.2,0.06,32.59,
ORD10365,2008-03-06,S003,952.0,0.065,61.88,
ORD10366,2008-03-07,S005,868.0,0.06,52.08,
ORD10367,2008-03-07,S005,344.08,0.06,20.64,
ORD10368,2008-03-10,S005,428.4,0.06,25.7,
ORD10369,2008-03-11,S005,1428.0,0.06,85.68,
ORD10370,2008-03-12,S001,1071.0,0.07,74.97,
ORD10371,2008-03-12,S003,346.5,0.065,22.52,
ORD10372,2008-03-12,S001,111.0,0.07,7.77,
ORD10373,2008-03-12,S001,1930.5,0.07,135.14,
ORD10374,2008-03-13,S004,1326.0,0.065,86.19,
ORD10375,2008-03-13,S002,630.0,0.07,44.1,
ORD10376,2008-03-14,S005,1092.0,0.06,65.52,
ORD10377,2008-03-14,S001,731.5,0.07,51.21,
ORD10378,2008-03-14,S004,807.5,0.065,52.49,
ORD10379,2008-03-17,S002,86.94,0.07,6.09,
ORD10380,2008-03-17,S001,333.0,0.07,23.31,
ORD10381,2008-03-18,S002,504.0,0.07,35.28,
ORD10382,2008-03-18,S001,1525.33,0.07,106.77,
ORD10383,2008-03-18,S003,1866.6,0.065,121.33,
ORD10384,2008-03-18,S004,1039.5,0.065,67.57,
ORD10385,2008-03-19,S004,408.0,0.065,26.52,
ORD10386,2008-03-19,S002,2856.0,0.07,199.92,
ORD10387,2008-03-20,S001,153.0,0.07,10.71,
ORD10388,2008-03-20,S002,538.65,0.07,37.71,
ORD10389,2008-03-20,S002,592.48,0.07,41.47,
ORD10390,2008-03-20,S002,703.0,0.07,49.21,
ORD10391,2008-03-20,S003,2040.0,0.065,132.6,
ORD10392,2008-03-21,S004,715.0,0.065,46.48,
ORD10393,2008-03-21,S001,854.0,0.07,59.78,
ORD10394,2008-03-21,S004,2856.0,0.065,185.64,
ORD10395,2008-03-21,S004,832.5,0.065,54.11,
ORD10396,2008-03-24,S001,892.5,0.07,62.48,
ORD10397,2008-03-24,S001,409.5,0.07,28.67,
ORD10398,2008-03-24,S004,1017.45,0.065,66.13,
ORD10399,2008-03-25,S002,494.7,0.07,34.63,
ORD10400,2008-03-25,S003,878.4,0.065,57.1,
ORD10401,2008-03-26,S002,1256.85,0.07,87.98,
ORD10402,2008-03-27,S004,187.68,0.065,12.2,
ORD10403,2008-03-27,S005,724.5,0.06,43.47,
ORD10404,2008-03-28,S003,1292.0,0.065,83.98,
ORD10405,2008-03-28,S003,239.4,0.065,15.56,
ORD10406,2008-03-31,S001,977.5,0.07,68.43,
ORD10407,2008-03-31,S001,1020.0,0.07,71.4,
ORD10408,2008-03-31,S003,612.0,0.065,39.78,
ORD10409,2008-04-01,S004,168.0,0.065,0,DMI credit hold
ORD10410,2008-04-01,S002,1591.0,0.07,0,Web sale - no rep credit
ORD10411,2008-04-01,S004,297.0,0.065,0,DMI credit hold
ORD10412,2008-04-01,S001,695.52,0.07,0,Web sale - no rep credit
ORD10413,2008-04-02,S002,1265.4,0.07,0,online attribution
ORD10417,2008-04-02,S004,1054.5,0.065,0,DMI credit hold
ORD10418,2008-04-03,S004,1258.0,0.065,0,online attribution
ORD10419,2008-04-03,S005,560.0,0.06,33.6,
ORD10420,2008-04-03,S004,1107.68,0.065,0,online attribution
ORD10421,2008-04-04,S005,1465.2,0.06,0,Web sale - no rep credit
ORD10422,2008-04-04,S003,1768.0,0.065,0,Web sale - no rep credit
ORD10423,2008-04-04,S002,1313.87,0.07,91.97,
ORD10424,2008-04-04,S005,96.9,0.06,0,online attribution
ORD10425,2008-04-07,S003,907.2,0.065,0,DMI credit hold
ORD10426,2008-04-07,S001,467.5,0.07,0,online attribution
ORD10427,2008-04-08,S002,1904.0,0.07,133.28,
ORD10428,2008-04-09,S003,2013.0,0.065,0,DMI credit hold
ORD10429,2008-04-09,S002,650.25,0.07,0,online attribution
ORD10430,2008-04-10,S004,1008.0,0.065,65.52,
ORD10431,2008-04-11,S001,1952.0,0.07,0,online attribution
ORD10432,2008-04-11,S002,1089.28,0.07,0,DMI credit hold
ORD10433,2008-04-14,S003,346.5,0.065,0,Web sale - no rep credit
ORD10434,2008-04-14,S001,2562.0,0.07,0,DMI credit hold
ORD10435,2008-04-14,S005,613.7,0.06,36.82,
ORD10436,2008-04-14,S001,714.0,0.07,0,Web sale - no rep credit
ORD10437,2008-04-14,S005,1071.0,0.06,0,Web sale - no rep credit
ORD10438,2008-04-15,S004,263.84,0.065,0,online attribution
ORD10439,2008-04-15,S001,448.96,0.07,0,DMI credit hold
ORD10440,2008-04-15,S002,148.0,0.07,10.36,
ORD10441,2008-04-16,S005,190.12,0.06,0,DMI credit hold
ORD10442,2008-04-16,S001,1592.1,0.07,0,Web sale - no rep credit
ORD10443,2008-04-16,S001,1417.5,0.07,0,online attribution
ORD10444,2008-04-17,S005,1227.4,0.06,0,DMI credit hold
ORD10445,2008-04-17,S004,1008.0,0.065,0,online attribution
ORD10446,2008-04-17,S001,1098.9,0.07,0,online attribution
ORD10447,2008-04-17,S002,2035.0,0.07,142.45,
ORD10448,2008-04-17,S003,617.32,0.065,0,DMI credit hold
ORD10449,2008-04-18,S004,2035.0,0.065,0,Web sale - no rep credit
ORD10450,2008-04-21,S001,329.8,0.07,0,online attribution
ORD10451,2008-04-21,S001,204.0,0.07,0,DMI credit hold
ORD10452,2008-04-21,S002,625.6,0.07,0,Web sale - no rep credit
ORD10454,2008-04-21,S002,2080.65,0.07,0,online attribution
ORD10455,2008-04-22,S002,892.5,0.07,62.48,
ORD10456,2008-04-22,S003,1105.0,0.065,71.83,
ORD10457,2008-04-22,S004,1881.0,0.065,0,online attribution
ORD10458,2008-04-23,S005,666.0,0.06,0,online attribution
ORD10459,2008-04-24,S004,1332.0,0.065,0,online attribution
ORD10460,2008-04-24,S001,469.2,0.07,0,DMI credit hold
ORD10462,2008-04-24,S002,748.88,0.07,0,Web sale - no rep credit
ORD10463,2008-04-24,S001,408.0,0.07,0,online attribution
ORD10464,2008-04-25,S004,2141.1,0.065,139.17,
ORD10465,2008-04-25,S004,370.0,0.065,0,Web sale - no rep credit
ORD10466,2008-04-25,S002,1952.0,0.07,0,DMI credit hold
ORD10467,2008-04-28,S002,956.25,0.07,0,DMI credit hold
ORD10468,2008-04-28,S003,1134.0,0.065,73.71,
ORD10469,2008-04-28,S003,680.0,0.065,0,Web sale - no rep credit
ORD10470,2008-04-28,S002,956.25,0.07,0,Web sale - no rep credit
ORD10471,2008-04-29,S002,1386.0,0.07,97.02,
ORD10472,2008-04-29,S003,370.0,0.065,0,Web sale - no rep credit
ORD10473,2008-04-30,S005,644.0,0.06,38.64,
ORD10474,2008-04-30,S005,1033.6,0.06,0,Web sale - no rep credit
ORD10475,2008-05-01,S004,2788.0,0.065,0,online attribution
ORD10476,2008-05-01,S005,2519.4,0.06,0,Web sale - no rep credit
ORD10477,2008-05-01,S001,1220.26,0.07,0,DMI credit hold
ORD10478,2008-05-01,S005,2788.0,0.06,0,Web sale - no rep credit
ORD10479,2008-05-02,S003,327.6,0.065,0,Web sale - no rep credit
ORD10480,2008-05-02,S004,1324.3,0.065,0,Web sale - no rep credit
ORD10481,2008-05-02,S002,544.0,0.07,38.08,
ORD10482,2008-05-05,S003,1265.0,0.065,0,DMI credit hold
