dmi_record_id,original_order_id,record_date,customer_id,recorded_revenue,entry_method,record_status,source_system
DMI-WEB10655,WEB10655,2008-02-06,C025,672.0,Online Checkout,Completed,DMI
DMI-WEB10656,WEB10656,2008-02-06,C005,588.0,Online Checkout,Cancelled,DMI
DMI-WEB10657,WEB10657,2008-02-06,C021,638.4,Online Checkout,Completed,DMI
DMI-WEB10658,WEB10658,2008-02-07,C023,439.04,Online Checkout,Completed,DMI
DMI-WEB10659,WEB10659,2008-02-08,C029,157.5,Online Checkout,Completed,DMI
DMI-WEB10660,WEB10660,2008-02-09,C021,252.0,Online Checkout,Completed,DMI
DMI-WEB10661,WEB10661,2008-02-10,C021,783.75,Online Checkout,Completed,DMI
DMI-WEB10662,WEB10662,2008-02-10,C003,539.0,Online Checkout,Completed,DMI
DMI-WEB10663,WEB10663,2008-02-10,C002,259.0,Online Checkout,Completed,DMI
DMI-WEB10664,WEB10664,2008-02-12,C012,442.0,Online Checkout,Completed,DMI
DMI-WEB10665,WEB10665,2008-02-12,C007,1210.0,Online Checkout,Cancelled,DMI
DMI-WEB10666,WEB10666,2008-02-12,C007,418.95,Online Checkout,Completed,DMI
DMI-WEB10667,WEB10667,2008-02-13,C001,560.0,Online Checkout,Completed,DMI
DMI-WEB10668,WEB10668,2008-02-14,C023,1088.0,Online Checkout,Completed,DMI
DMI-WEB10669,WEB10669,2008-02-14,C027,126.0,Online Checkout,Completed,DMI
DMI-WEB10670,WEB10670,2008-02-14,C022,231.8,Online Checkout,Completed,DMI
DMI-WEB10671,WEB10671,2008-02-17,C024,1156.0,Online Checkout,Completed,DMI
DMI-WEB10672,WEB10672,2008-02-17,C006,814.0,Online Checkout,Completed,DMI
DMI-WEB10673,WEB10673,2008-02-17,C011,261.25,Online Checkout,Completed,DMI
DMI-WEB10674,WEB10674,2008-02-20,C016,499.8,Online Checkout,Completed,DMI
DMI-WEB10675,WEB10675,2008-02-20,C025,32.3,Online Checkout,Completed,DMI
DMI-WEB10676,WEB10676,2008-02-20,C014,170.0,Online Checkout,Completed,DMI
DMI-WEB10677,WEB10677,2008-02-21,C025,64.6,Online Checkout,Completed,DMI
DMI-WEB10678,WEB10678,2008-02-21,C019,129.2,Online Checkout,Completed,DMI
DMI-WEB10679,WEB10679,2008-02-23,C008,255.0,Online Checkout,Completed,DMI
DMI-WEB10680,WEB10680,2008-02-23,C002,432.18,Online Checkout,Completed,DMI
DMI-WEB10681,WEB10681,2008-02-24,C018,330.0,Online Checkout,Completed,DMI
DMI-WEB10682,WEB10682,2008-02-24,C024,55.0,Online Checkout,Completed,DMI
DMI-WEB10683,WEB10683,2008-02-25,C013,782.0,Online Checkout,Completed,DMI
DMI-WEB10684,WEB10684,2008-02-27,C029,833.0,Online Checkout,Completed,DMI
DMI-WEB10685,WEB10685,2008-02-27,C022,732.0,Online Checkout,Completed,DMI
DMI-WEB10686,WEB10686,2008-02-28,C018,336.0,Online Checkout,Completed,DMI
DMI-WEB10687,WEB10687,2008-02-28,C015,548.8,Online Checkout,Completed,DMI
DMI-WEB10688,WEB10688,2008-02-29,C027,55.0,Online Checkout,Returned,DMI
DMI-WEB10689,WEB10689,2008-02-29,C030,1700.0,Online Checkout,Completed,DMI
DMI-WEB10690,WEB10690,2008-02-29,C005,710.6,Online Checkout,Completed,DMI
DMI-WEB10691,WEB10691,2008-03-01,C028,767.12,Online Checkout,Completed,DMI
DMI-WEB10692,WEB10692,2008-03-02,C017,272.0,Online Checkout,Completed,DMI
DMI-WEB10693,WEB10693,2008-03-02,C002,148.0,Online Checkout,Completed,DMI
DMI-WEB10694,WEB10694,2008-03-02,C001,329.18,Online Checkout,Completed,DMI
DMI-WEB10695,WEB10695,2008-03-05,C027,183.0,Online Checkout,Completed,DMI
DMI-WEB10696,WEB10696,2008-03-05,C004,874.65,Online Checkout,Completed,DMI
DMI-WEB10697,WEB10697,2008-03-05,C007,467.5,Online Checkout,Cancelled,DMI
DMI-WEB10698,WEB10698,2008-03-07,C006,880.0,Online Checkout,Completed,DMI
DMI-WEB10699,WEB10699,2008-03-07,C007,1564.0,Online Checkout,Completed,DMI
DMI-WEB10700,WEB10700,2008-03-08,C030,488.0,Online Checkout,Completed,DMI
DMI-WEB10701,WEB10701,2008-03-09,C006,550.0,Online Checkout,Cancelled,DMI
DMI-WEB10702,WEB10702,2008-03-11,C023,333.0,Online Checkout,Completed,DMI
DMI-WEB10703,WEB10703,2008-03-11,C031,661.5,Online Checkout,Completed,DMI
DMI-WEB10704,WEB10704,2008-03-11,C016,220.5,Online Checkout,Returned,DMI
DMI-WEB10705,WEB10705,2008-03-12,C016,598.5,Online Checkout,Cancelled,DMI
DMI-WEB10706,WEB10706,2008-03-12,C029,560.0,Online Checkout,Completed,DMI
DMI-WEB10707,WEB10707,2008-03-13,C022,408.0,Online Checkout,Completed,DMI
DMI-WEB10708,WEB10708,2008-03-14,C002,1066.24,Online Checkout,Completed,DMI
DMI-WEB10709,WEB10709,2008-03-14,C030,466.48,Online Checkout,Completed,DMI
DMI-WEB10710,WEB10710,2008-03-14,C027,34.0,Online Checkout,Completed,DMI
DMI-WEB10711,WEB10711,2008-03-15,C002,488.0,Online Checkout,Completed,DMI
DMI-WEB10712,WEB10712,2008-03-17,C016,695.4,Online Checkout,Completed,DMI
DMI-WEB10713,WEB10713,2008-03-17,C017,799.68,Online Checkout,Completed,DMI
DMI-WEB10714,WEB10714,2008-03-17,C027,715.0,Online Checkout,Completed,DMI
DMI-WEB10715,WEB10715,2008-03-19,C029,239.4,Online Checkout,Completed,DMI
DMI-WEB10716,WEB10716,2008-03-19,C021,833.0,Online Checkout,Completed,DMI
DMI-WEB10717,WEB10717,2008-03-19,C023,814.0,Online Checkout,Completed,DMI
DMI-WEB10718,WEB10718,2008-03-20,C015,544.0,Online Checkout,Completed,DMI
DMI-WEB10719,WEB10719,2008-03-20,C018,1615.0,Online Checkout,Completed,DMI
DMI-WEB10720,WEB10720,2008-03-22,C025,107.8,Online Checkout,Completed,DMI
DMI-WEB10721,WEB10721,2008-03-22,C003,714.0,Online Checkout,Completed,DMI
DMI-WEB10722,WEB10722,2008-03-22,C028,581.4,Online Checkout,Completed,DMI
DMI-WEB10723,WEB10723,2008-03-23,C010,598.5,Online Checkout,Completed,DMI
DMI-WEB10724,WEB10724,2008-03-23,C017,644.0,Online Checkout,Completed,DMI
DMI-WEB10725,WEB10725,2008-03-24,C001,1162.8,Online Checkout,Cancelled,DMI
DMI-WEB10726,WEB10726,2008-03-25,C010,836.0,Online Checkout,Completed,DMI
DMI-WEB10727,WEB10727,2008-03-25,C011,106.4,Online Checkout,Completed,DMI
DMI-WEB10728,WEB10728,2008-03-25,C013,1320.0,Online Checkout,Completed,DMI
DMI-WEB10729,WEB10729,2008-03-27,C013,407.0,Online Checkout,Completed,DMI
DMI-WEB10730,WEB10730,2008-03-27,C004,123.48,Online Checkout,Completed,DMI
DMI-WEB10731,WEB10731,2008-03-28,C004,84.0,Online Checkout,Completed,DMI
DMI-WEB10732,WEB10732,2008-03-28,C030,161.5,Online Checkout,Completed,DMI
DMI-WEB10733,WEB10733,2008-03-28,C028,1100.0,Online Checkout,Completed,DMI
DMI-WEB10734,WEB10734,2008-03-30,C021,129.2,Online Checkout,Cancelled,DMI
DMI-WEB10735,WEB10735,2008-03-30,C008,567.0,Online Checkout,Completed,DMI
DMI-WEB10736,WEB10736,2008-03-31,C013,761.46,Online Checkout,Completed,DMI
DMI-WEB10737,WEB10737,2008-03-31,C025,1020.0,Online Checkout,Completed,DMI
DMI-WEB10738,WEB10738,2008-04-01,C003,588.0,Online Checkout,Completed,DMI
DMI-WEB10739,WEB10739,2008-04-04,C019,266.56,Online Checkout,Completed,DMI
DMI-WEB10740,WEB10740,2008-04-04,C003,1632.0,Online Checkout,Completed,DMI
DMI-WEB10741,WEB10741,2008-04-05,C011,680.0,Online Checkout,Completed,DMI
DMI-WEB10742,WEB10742,2008-04-05,C030,384.16,Online Checkout,Completed,DMI
DMI-WEB10743,WEB10743,2008-04-05,C018,558.6,Online Checkout,Completed,DMI
DMI-WEB10744,WEB10744,2008-04-06,C011,362.6,Online Checkout,Completed,DMI
DMI-WEB10745,WEB10745,2008-04-06,C017,543.9,Online Checkout,Completed,DMI
DMI-WEB10746,WEB10746,2008-04-06,C023,1342.0,Online Checkout,Completed,DMI
DMI-WEB10747,WEB10747,2008-04-07,C016,85.0,Online Checkout,Completed,DMI
DMI-WEB10748,WEB10748,2008-04-08,C008,969.0,Online Checkout,Completed,DMI
DMI-WEB10749,WEB10749,2008-04-08,C013,64.6,Online Checkout,Completed,DMI
DMI-WEB10750,WEB10750,2008-04-08,C022,714.0,Online Checkout,Completed,DMI
DMI-WEB10751,WEB10751,2008-04-10,C020,783.75,Online Checkout,Completed,DMI
DMI-WEB10752,WEB10752,2008-04-10,C022,1076.04,Online Checkout,Completed,DMI
DMI-WEB10753,WEB10753,2008-04-11,C018,209.0,Online Checkout,Completed,DMI
DMI-WEB10754,WEB10754,2008-04-11,C008,405.65,Online Checkout,Completed,DMI
DMI-WEB10755,WEB10755,2008-04-12,C007,165.0,Online Checkout,Completed,DMI
DMI-WEB10756,WEB10756,2008-04-12,C009,323.4,Online Checkout,Completed,DMI
DMI-WEB10757,WEB10757,2008-04-12,C030,1374.94,Online Checkout,Completed,DMI
DMI-WEB10758,WEB10758,2008-04-13,C026,522.5,Online Checkout,Completed,DMI
DMI-WEB10759,WEB10759,2008-04-14,C023,878.75,Online Checkout,Completed,DMI
DMI-WEB10760,WEB10760,2008-04-14,C018,578.0,Online Checkout,Returned,DMI
DMI-WEB10761,WEB10761,2008-04-15,C029,560.0,Online Checkout,Returned,DMI
DMI-WEB10762,WEB10762,2008-04-15,C023,266.0,Online Checkout,Returned,DMI
DMI-WEB10763,WEB10763,2008-04-16,C029,392.0,Online Checkout,Cancelled,DMI
DMI-WEB10764,WEB10764,2008-04-16,C029,888.0,Online Checkout,Completed,DMI
DMI-WEB10765,WEB10765,2008-04-16,C013,238.0,Online Checkout,Completed,DMI
DMI-WEB10766,WEB10766,2008-04-17,C023,1155.0,Online Checkout,Completed,DMI
DMI-WEB10767,WEB10767,2008-04-17,C024,463.05,Online Checkout,Returned,DMI
DMI-WEB10768,WEB10768,2008-04-18,C013,471.38,Online Checkout,Completed,DMI
DMI-WEB10769,WEB10769,2008-04-18,C007,748.12,Online Checkout,Completed,DMI
DMI-WEB10770,WEB10770,2008-04-18,C013,999.6,Online Checkout,Completed,DMI
DMI-WEB10771,WEB10771,2008-04-19,C017,977.5,Online Checkout,Completed,DMI
DMI-WEB10772,WEB10772,2008-04-19,C008,448.0,Online Checkout,Completed,DMI
DMI-WEB10773,WEB10773,2008-04-20,C023,1088.0,Online Checkout,Completed,DMI
DMI-WEB10774,WEB10774,2008-04-20,C002,599.76,Online Checkout,Completed,DMI
DMI-WEB10775,WEB10775,2008-04-20,C030,585.2,Online Checkout,Completed,DMI
DMI-WEB10776,WEB10776,2008-04-21,C008,588.0,Online Checkout,Cancelled,DMI
DMI-WEB10777,WEB10777,2008-04-21,C017,315.0,Online Checkout,Cancelled,DMI
DMI-WEB10778,WEB10778,2008-04-22,C003,495.0,Online Checkout,Completed,DMI
DMI-WEB10779,WEB10779,2008-04-23,C008,82.32,Online Checkout,Completed,DMI
DMI-WEB10780,WEB10780,2008-04-23,C017,385.0,Online Checkout,Completed,DMI
DMI-WEB10781,WEB10781,2008-04-23,C010,693.0,Online Checkout,Completed,DMI
DMI-WEB10782,WEB10782,2008-04-24,C008,140.0,Online Checkout,Completed,DMI
DMI-WEB10783,WEB10783,2008-04-24,C008,374.0,Online Checkout,Completed,DMI
DMI-WEB10784,WEB10784,2008-04-24,C015,435.12,Online Checkout,Completed,DMI
DMI-WEB10785,WEB10785,2008-04-25,C008,40.38,Online Checkout,Completed,DMI
DMI-WEB10786,WEB10786,2008-04-25,C026,485.1,Online Checkout,Completed,DMI
DMI-WEB10787,WEB10787,2008-04-25,C007,896.7,Online Checkout,Completed,DMI
DMI-WEB10788,WEB10788,2008-04-26,C006,94.5,Online Checkout,Returned,DMI
DMI-WEB10789,WEB10789,2008-04-26,C012,632.7,Online Checkout,Completed,DMI
DMI-WEB10790,WEB10790,2008-04-26,C018,244.0,Online Checkout,Cancelled,DMI
DMI-WEB10791,WEB10791,2008-04-28,C001,925.0,Online Checkout,Completed,DMI
DMI-WEB10792,WEB10792,2008-04-30,C005,37.0,Online Checkout,Completed,DMI
DMI-WEB10793,WEB10793,2008-05-01,C020,1088.0,Online Checkout,Completed,DMI
DMI-WEB10794,WEB10794,2008-05-01,C011,340.0,Online Checkout,Completed,DMI
DMI-WEB10795,WEB10795,2008-05-01,C025,476.0,Online Checkout,Completed,DMI
DMI-WEB10796,WEB10796,2008-05-03,C004,129.2,Online Checkout,Completed,DMI
DMI-WEB10797,WEB10797,2008-05-03,C007,715.0,Online Checkout,Completed,DMI
DMI-WEB10798,WEB10798,2008-05-04,C016,70.3,Online Checkout,Completed,DMI
DMI-WEB10799,WEB10799,2008-05-05,C002,444.0,Online Checkout,Completed,DMI
DMI-WEB10800,WEB10800,2008-05-08,C017,580.16,Online Checkout,Completed,DMI
DMI-WEB10801,WEB10801,2008-05-08,C025,239.4,Online Checkout,Completed,DMI
DMI-WEB10802,WEB10802,2008-05-08,C018,927.2,Online Checkout,Completed,DMI
DMI-WEB10803,WEB10803,2008-05-11,C031,680.0,Online Checkout,Completed,DMI
DMI-WEB10804,WEB10804,2008-05-11,C002,210.9,Online Checkout,Completed,DMI
DMI-WEB10805,WEB10805,2008-05-11,C012,1564.0,Online Checkout,Completed,DMI
DMI-WEB10806,WEB10806,2008-05-12,C003,1045.0,Online Checkout,Completed,DMI
DMI-WEB10807,WEB10807,2008-05-14,C017,581.4,Online Checkout,Completed,DMI
DMI-WEB10808,WEB10808,2008-05-15,C023,1265.0,Online Checkout,Completed,DMI
DMI-WEB10809,WEB10809,2008-05-15,C011,280.0,Online Checkout,Completed,DMI
DMI-WEB19999,WEB19999,2007-10-19,C031,61.0,Online Checkout,Completed,DMI
DMI-XORD10499,ORD10499,2008-05-12,C009,1430.0,Manual Re-Entry,Completed,DMI
DMI-XORD10475,ORD10475,2008-05-01,C027,2788.0,TEMP PROCEDURE,Completed,DMI
DMI-XORD10479,ORD10479,2008-05-02,C014,327.6,sales rep reentry,Completed,DMI
DMI-XORD10480,ORD10480,2008-05-02,C007,1324.3,sales rep reentry,Completed,DMI
DMI-XORD10457,ORD10457,2008-04-22,C017,1881.0,Manual Re-Entry,Completed,DMI
DMI-XORD10444,ORD10444,2008-04-17,C025,1227.4,sales rep reentry,Completed,DMI
DMI-XORD10432,ORD10432,2008-04-11,C025,1089.28,sales rep reentry,Completed,DMI
DMI-XORD10443,ORD10443,2008-04-16,C017,1417.5,sales rep reentry,Completed,DMI
